"Food_Code","Main_Food_Description","Subcode_Description","WWEIA_Category_Description","Portion_Description","Portion_Weight_(g)"
"22301120","ham, fresh, cooked, lean only eaten",NA,"pork","oz, boneless, raw, lean only (yield after cooking)","19"
"22301120","ham, fresh, cooked, lean only eaten",NA,"pork","oz, with bone, raw (yield after cooking, bone, skin, and fat removed)","13"
"22301120","ham, fresh, cooked, lean only eaten",NA,"pork","oz, with bone, cooked (yield after bone, skin, and fat removed)","19"
"22301120","ham, fresh, cooked, lean only eaten",NA,"pork","oz, boneless, raw (yield after cooking, fat removed)","16"
"22301120","ham, fresh, cooked, lean only eaten",NA,"pork","oz, boneless, cooked (yield after fat removed)","25"
"22301120","ham, fresh, cooked, lean only eaten",NA,"pork","cubic inch, boneless, cooked, fat removed","17"
"22301120","ham, fresh, cooked, lean only eaten",NA,"pork","cup, cooked, diced","134"
"22301120","ham, fresh, cooked, lean only eaten",NA,"pork","quantity not specified","89"
"22311000","ham, smoked or cured, cooked, ns as to fat eaten",NA,"cold cuts and cured meats","thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")","21"
"22311000","ham, smoked or cured, cooked, ns as to fat eaten",NA,"cold cuts and cured meats","medium slice (approx 4-1/2"" x 2-1/2"" x 1/4"")","42"
"22311000","ham, smoked or cured, cooked, ns as to fat eaten",NA,"cold cuts and cured meats","thick slice (approx 4-1/2"" x 2-1/2"" x 3/8"")","63"
"22311000","ham, smoked or cured, cooked, ns as to fat eaten",NA,"cold cuts and cured meats","oz, with bone, raw (yield after cooking, bone and skin removed)","17"
"22311000","ham, smoked or cured, cooked, ns as to fat eaten",NA,"cold cuts and cured meats","oz, with bone, cooked (yield after bone and skin removed)","22"
"22311000","ham, smoked or cured, cooked, ns as to fat eaten",NA,"cold cuts and cured meats","oz, boneless, raw (yield after cooking)","23"
"22311000","ham, smoked or cured, cooked, ns as to fat eaten",NA,"cold cuts and cured meats","oz, boneless, cooked","28.35"
"22311000","ham, smoked or cured, cooked, ns as to fat eaten",NA,"cold cuts and cured meats","cubic inch, boneless, cooked","17"
"22311000","ham, smoked or cured, cooked, ns as to fat eaten",NA,"cold cuts and cured meats","cup, cooked, diced","134"
"22311000","ham, smoked or cured, cooked, ns as to fat eaten",NA,"cold cuts and cured meats","cup, cooked, shredded","110"
"22311000","ham, smoked or cured, cooked, ns as to fat eaten",NA,"cold cuts and cured meats","cup, cooked, shaved","81"
"22311000","ham, smoked or cured, cooked, ns as to fat eaten",NA,"cold cuts and cured meats","cup, nfs","134"
"22311000","ham, smoked or cured, cooked, ns as to fat eaten",NA,"cold cuts and cured meats","quantity not specified","45"
"22311010","ham, smoked or cured, cooked, lean and fat eaten",NA,"cold cuts and cured meats","thin slice (approx 4-1/2"" x 2-1/2"" x 1/8"")","21"
"22311010","ham, smoked or cured, cooked, lean and fat eaten",NA,"cold cuts and cured meats","medium slice (approx 4-1/2"" x 2-1/2"" x 1/4"")","42"
"22311010","ham, smoked or cured, cooked, lean and fat eaten",NA,"cold cuts and cured meats","thick slice (approx 4-1/2"" x 2-1/2"" x 3/8"")","63"
"22311010","ham, smoked or cured, cooked, lean and fat eaten",NA,"cold cuts and cured meats","oz, with bone, raw (yield after cooking, bone and skin removed)","17"
"22311010","ham, smoked or cured, cooked, lean and fat eaten",NA,"cold cuts and cured meats","oz, with bone, cooked (yield after bone and skin removed)","22"
"22311010","ham, smoked or cured, cooked, lean and fat eaten",NA,"cold cuts and cured meats","oz, boneless, raw (yield after cooking)","23"
"22311010","ham, smoked or cured, cooked, lean and fat eaten",NA,"cold cuts and cured meats","oz, boneless, cooked","28.35"
"22311010","ham, smoked or cured, cooked, lean and fat eaten",NA,"cold cuts and cured meats","cubic inch, boneless, cooked","17"
"22311010","ham, smoked or cured, cooked, lean and fat eaten",NA,"cold cuts and cured meats","cup, cooked, diced","134"
"22311010","ham, smoked or cured, cooked, lean and fat eaten",NA,"cold cuts and cured meats","cup, cooked, shredded","110"
"22311010","ham, smoked or cured, cooked, lean and fat eaten",NA,"cold cuts and cured meats","cup, cooked, shaved","81"
"22311010","ham, smoked or cured, cooked, lean and fat eaten",NA,"cold cuts and cured meats","quantity not specified","45"
